name,funding_amount,city,country,industry,funding_stage,description,investors,startup_age,team_background,traction_indicators,valuation,round_type,language,region_category,company_website,article_keywords,url,publish_date,founder_linkedin
Ecosia,,Berlin,Germany,"ClimateTech, Renewable Energy, Biodiversity Protection",,"Ecosia is a green search engine that invests 100% of its profits into climate action initiatives, including reforestation, renewable energy, and biodiversity protection.",,2009,"Christian Kroll, CEO, founder who gave away his shares in 2018","20 million users, planted over 230 million trees globally, dedicated upwards of €92 million to climate action",,,English,EU,,"climate action, reforestation, renewable energy, biodiversity, ClimateTech, regenerative agriculture, solar initiatives",https://www.eu-startups.com/2025/05/german-search-engine-ecosia-unveils-new-climate-impact-experience-for-users-shifting-away-from-tree-planting/,"May 16, 2025",
MedVasc AB,917000.0,Lund,Sweden,MedTech,Final product development phase,"Develops and patents the medical device Solutio, designed to improve the anaesthetic procedure when treating varicose veins.","Existing owners, new investors",2013,"Michael Åkesson, senior consultant of interventional radiology with over twenty years of experience, former Head of the Division of Endovascular Surgery at the Vascular Department, University Hospital SUS Malmö.","Developed a final prototype, granted patents and trademarks in all prioritised markets, performed a first-in-man clinical study.",,Final product development phase,English,EU,,"MedTech, catheter device, FDA regulatory approval, varicose veins, clinical study, patents, trademarks, incubator programme",https://www.eu-startups.com/2025/05/swedish-medtech-startup-medvasc-raises-e917k-to-improve-anaesthetic-procedure-when-treating-varicose-veins/,"May 16, 2025",
Rockaway Ventures,55000000.0,Prague,Czechia,"energy, defense, dual-use technologies, retail, e-commerce, travel & hospitality, digital logistics, digital media, cybersecurity, CleanTech, PropTech","late-Seed, Series A",Investment fund supporting early-stage startups in Central and Eastern Europe and other emerging markets.,"Rockaway Capital, private investors",10,"entrepreneurs, ex-founders","backed 11 companies, plans to expand portfolio",,"late-Seed, Series A",English,EU,,"venture capital, early-stage startups, CEE, emerging markets, AI, transformative technology",https://www.eu-startups.com/2025/05/czech-investment-fund-rockaway-ventures-targets-game-changing-tech-with-new-e55-million-raise/,"May 16, 2025",
Goldfinch Holdings,17800000.0,London,UK,"film financing, media, blockchain, AI, metaverse, TMT infrastructure",Co-investment framework,"Film financier partnering with Digital Genesis Fund to back next-gen media ventures leveraging tokenisation, AI, the metaverse, and TMT infrastructure.","Digital Genesis Fund, Goldfinch International, Animoca Brands, Brinc, Rolling Stone, RS Productions",12,"Hendrik Hey (Managing Director & Co-founder of Digital Genesis Fund), Justin Deimen (Managing Partner of Goldfinch International), Phil McKenzie (Chief Operating Officer of Goldfinch Holdings), Patrice Poujol (Lumiere)","Acquisition of Lumiere, partnerships with Animoca Brands, Brinc, Rolling Stone, RS Productions, infrastructure partnerships with ARCWARE, planned projects including The Squad and MILC",,Co-investment,English,EU,,"film financing, blockchain, AI, metaverse, tokenisation, media ventures, decentralised entertainment, Web3, Film3, MILC, Lumiere",https://www.eu-startups.com/2025/05/british-film-financier-goldfinch-and-digital-genesis-launch-e17-8-million-entertainment-fund/,"May 15, 2025",
Studio 42,3200000.0,Limassol,Cyprus,"Mobile game development, Gaming",Seed,A mobile game development studio focused on creating simple yet deeply engaging puzzle games.,"Play Ventures, GEM Capital, Arcadia Gaming Partners",2025,"Former Belka Games leaders (Aleksandr Bogdanov, Ivan Larionov, Pavel Sudakov), ex-Snap Inc., Playrix, Game Insight","First project moved from concept to live testing in two months, plans to evaluate up to 10 new ideas each year using AI",,Seed,English,EU,,"mobile game, puzzle genre, hybrid-casual, live ops, AI testing",https://www.eu-startups.com/2025/05/cypriot-videogame-startup-studio-42-levels-up-with-e3-2-million-to-fund-their-debut-title/,"May 15, 2025",
Shyfter,1500000.0,Belgian,Belgium,"HRTech, SaaS, workforce management",Scale-up,Specialises in smart staff scheduling and workforce management through its SaaS platform.,"Mike Vandenhooft, welovefounders",5,"Lionel Hermans (CEO and Co-founder), Vincent Baille (Co-founder)","Achieved profitability in 2024 with 70% growth, nearly 1,800 clients, plans to double client number annually until 2027, ARR target of €10 million, supports international chains like Burger King, KFC, and Quick",,,English,EU,,"HRTech, SaaS, workforce management, fundraising, international growth, profitability, R&D, Europe",https://www.eu-startups.com/2025/05/brussels-based-hrtech-scale-up-shyfter-raises-e1-5-million-to-step-on-the-accelerator-and-expand-into-key-markets/,"May 15, 2025",
Optics11,17000000.0,Dutch,Netherlands,"DeepTech, fiber optic sensing, infrastructure security",Scale-up,Optics11 builds advanced fiber optic sensing solutions to protect Europe’s vital infrastructure from increasing threats.,"FORWARD.one, SET Ventures, Join Capital, Value Creation Capital (VCC)",,CEO Paul Heiden,"OptiArray adopted by Royal Netherlands Navy’s Orka-class submarines, predictive monitoring solution OptiFender, subsea early-warning systems OptiBarrier and OptiArray",,Scale-up,English,EU,,"fiber optic sensing, infrastructure security, subsea detection, energy supply, predictive monitoring",https://www.eu-startups.com/2025/05/the-amsterdam-based-startup-optics11-has-just-raised-e17-million-to-defend-europes-fiber-optic-cables-from-sabotage/,"May 15, 2025",
akeno,4500000.0,Hamburg,Germany,"manufacturing, chemicals, pharmaceuticals, food manufacturing",Seed,AI-driven production planning software for the manufacturing sector.,"Cusp Capital, TS Ventures, another.vc",2021,"Alexander Ebbrecht, Dmitrij Direktor, Steffen Ramm","Pilot projects with BASF Coatings, SunChemical, Beckers Group; entered Chinese market",,Seed,English,EU,,"AI, production planning, manufacturing, digital transformation, real-time optimization, industrial AI",https://www.eu-startups.com/2025/05/german-ai-startup-akeno-raises-e4-5-million-to-automate-production-planning/,"May 15, 2025",
Wave Ventures,7000000.0,Helsinki,Finland,"Venture Capital, Early-stage Investing",Fund III,A Gen Z-run VC firm aiming to become the leading early-stage backer of Gen Z Founders across the Nordics and Baltics.,"Slack, Bolt, Skype, Supercell, Wolt, Silo AI, Smartly.io",8,"Gen Z investors embedded in startup ecosystems across Helsinki, Stockholm, and Tallinn",Made over 50 initial investments as the first backer and invested in nearly 80% of VC-backed Finnish startups led by CEOs under 30,,Fund,English,EU,,"Gen Z, VC firm, early-stage investing, Nordics, Baltics, AI, no-code tools, open-source technologies",https://www.eu-startups.com/2025/05/meet-wave-ventures-the-finnish-gen-z-vc-fund-for-gen-z-founders-announcing-a-e7-million-fund/,"May 15, 2025",
Fleequid,3000000.0,Olgiate Comasco,Italy,"marketplace, transportation, commercial vehicles",Seed,The first online marketplace built for buying and selling used buses.,"DFF Ventures, Silence VC, FJ Labs, Jack Greco",0,"Filippo and Federico Battaglia, ex-Basco (family’s bus trading company)","Sold hundreds of buses in its first months, buyers from Ghana, Romania, Iraq, Italy, Poland, Bulgaria",,Seed,English,EU,,"online marketplace, used buses, auction platform, commercial vehicle market, passenger transportation, Europe, brokers, opaque system, hidden mark-ups, Basco, open online auctions, transaction, ownership transfer, transport, under-digitised markets, execution, grit, operating system",https://www.eu-startups.com/2025/05/italian-online-marketplace-for-used-buses-fleequid-raises-e3-million/,"May 14, 2025",
Portia AI,5100000.0,London,UK,"AI, Developer Tools",Seed,"An open-source AI agents SDK to build predictable, controllable and authenticated agents.","General Catalyst, First Minute Capital, Stem AI",2025,"ex-Stripe, ex-Google, serial entrepreneurs","Design partners, growing developer following",,Seed,English,UK,,"AI agents, SDK, open-source, developers, production-grade, autonomous decision making",https://www.eu-startups.com/2025/04/british-startup-portia-ai-bags-e5-million-to-help-developers-build-ai-agents-in-production-with-better-human-oversight/,"April 16, 2025",
Tundr,7200000.0,Milan,Italy,"FinTech, corporate welfare",Seed,Simplifying corporate welfare through a fully digital and user-friendly platform.,"360 Capital, CDP Venture Capital, Azimut Libera Impresa SGR, Exor Ventures, Vento, Alecla7, Vesper Holding, Jean Canzoneri, Carlo Enrico",2,"Giorgio Seveso, Jules Arthur Sastre, Luca Milesi","Onboarded over 400 companies, €20 million in welfare credits issued, usage rates exceeding 95%",,Seed,English,EU,,"FinTech, corporate welfare, digital platform, Seed round, Italy, Mastercard, ESG",https://www.eu-startups.com/2025/04/italian-fintech-tundr-secures-e7-2-million-to-scale-its-digital-platform-for-corporate-welfare/,"April 16, 2025",
Skin Analytics,17500000.0,,UK,"HealthTech, AI, Dermatology",Series B,Skin Analytics is a HealthTech company focused on building a future where nobody dies of skin cancer using AI technology.,Intrepid Growth Partners,2012,"Neil Daly, Founder and CEO","Consulted more than 150,000 NHS patients, detected more than 14,000 cancers, deployed in 26 NHS sites across the UK, DERM found 97% of cancers with a Negative Predictive Value (NPV) of 99.8%.",,Series B,English,UK,,"HealthTech, AI, skin cancer, dermatology, NHS, Series B, Intrepid Growth Partners",https://www.eu-startups.com/2025/04/british-healthtech-company-skin-analytics-raises-e17-million-to-deliver-ai-skin-cancer-detection/,"April 16, 2025",
Nyobolt,26300000.0,Cambridge,UK,"high-power ultrafast charging technologies, energy storage, fast-charging solutions",Series A,"Nyobolt is an innovator in high-power ultrafast charging technologies, transforming critical industries with uptime using its fast charge technology.","IQ Capital, Latitude, Scania Invest, Takasago Industry",5,"ex-Cambridge, DeepTech researchers","€7.9 million in revenue, successfully charged an electric car battery to 80% in under five minutes, €131 million in contract value secured",87900000,Series A,English,EU,,"high-power, ultrafast charging, energy storage, AI infrastructure, heavy-duty transport, data centres, decarbonise, fast charge solutions, battery cell designs, power electronics",https://www.eu-startups.com/2025/04/deeptech-into-deep-impact-nyobolt-raises-e26-million-for-high-power-energy-solutions/,"April 16, 2025",Sai Shivareddy
Flock Mobility,1100000.0,London,UK,"CleanTech, Shared Transport",,"Flock Mobility is a UK-based B2B CleanTech company that provides an AI-driven EV fleet platform to help organisations run cleaner, more efficient shared transport services.","Gareth Williams, Boston-based family office, European Space Agency",4,,"Implemented transport solutions at Trent Park and NHS Newcastle-Upon-Tyne Trust, achieving significant CO₂ savings and efficiency improvements.",,,English,UK,,"CleanTech, shared transport, EV fleet, AI-driven, NHS, emissions reduction",https://www.eu-startups.com/2025/04/british-startup-flock-mobility-raises-e1-1-million-to-drive-expansion-and-reinvent-how-organisations-move-people/,"April 15, 2025",
beSirius,3000000.0,Amsterdam,Netherlands,"sustainability, metals, mining, heavy industries",Seed,"AI-powered sustainability intelligence platform for metals, mining, and heavy industries, replacing static sustainability reporting with real-time intelligence.","NAP, Fund F, Techstars, Blackwood, WEPA Ventures, Golden Egg Check",2022,"industry insiders with over 20 years of combined expertise in metals, mining, and industrial tech","adopted by global industry players such as FLSmidth, ArcelorMittal, and Freeport-McMoRan, saved thousands of hours of manual work, grown from three founders to a team of 17",,Seed,English,EU,,"AI, sustainability, metals, mining, heavy industries, real-time intelligence, supply chains, auditors, financial institutions",https://www.eu-startups.com/2025/04/dutch-startup-besirius-raises-e3-million-for-esg-platform-for-metals-mining-and-heavy-industries/,"April 15, 2025",
telli,3100000.0,Berlin,Germany,"AI, call automation, customer acquisition",pre-Seed,"telli empowers businesses to make phone calls with AI voice agents, converting and engaging customers across the customer journey.","Cherry Ventures, Y Combinator",2024,Founders with insight into call operations and Silicon Valley tech expertise,"Managing thousands of calls per day, revenue growth of more than 50% month over month, processed close to a million phone calls in the last 5 months",,Pre-Seed,English,EU,,"AI, call automation, customer acquisition, voice agents, Cherry Ventures, Y Combinator",https://www.eu-startups.com/2025/04/german-startup-telli-raises-e3-1-million-to-redefine-how-ai-agents-and-humans-collaborate-in-call-operations/,"April 15, 2025",
Marshmallow,79400000.0,London,UK,"FinTech, Insurance",Series B,Marshmallow is a FinTech company on a mission to make living in a new country easier and more affordable by providing tech-first financial products.,"Portage, BlackRock, Columbia Lake Partners",2017,"Alexander and Oliver Kent-Braham (co-founders), David Goaté (software engineer)","Over one million customers, unicorn status in 2021, turnover run rate of over €439 million, 700 employees",1700000000,Series B,English,UK,,"FinTech, insurance, newcomers, UK, financial services, unicorn, international expansion",https://www.eu-startups.com/2025/04/british-fintech-marshmallow-secures-e79-million-to-provide-motor-insurance-for-those-new-to-the-uk/,"April 15, 2025",
Wonder,2600000.0,,,"AI, filmmaking, storytelling, content creation",pre-Seed,AI-powered creative studio that enables filmmakers and storytellers to craft visual content and bring concepts to life faster.,"LocalGlobe, Blackbird, Mati Staniszewski, Laura Modiano, Ross Dinerstein, Ammaar Reshi, Mika Salmi, Andre Haddad, Peter Hepworth",2025,"Xavier Collins (Co-founder and CEO), Justin Hackney (Co-founder and Chief Creative Officer), ex-Google DeepMind, ex-OpenAI, ex-Activision Blizzard EMEA","Partnerships with ElevenLabs, Campfire Studios, Ravensbourne University, Freepik",,Pre-Seed,English,,,"AI, filmmaking, storytelling, content creation, democratisation, technology, creativity, production, entertainment",https://www.eu-startups.com/2025/04/london-based-ai-creative-studio-wonder-raises-e2-6-million-for-genai-visual-content/,"April 14, 2025",
BKN301 Group,21500000.0,London,UK,"FinTech, Banking-as-a-Service",Series B,A global FinTech specializing in Banking-as-a-Service (BaaS) with a proprietary BaaS Orchestrator platform.,"CDP Venture Capital SGR, Azimut Libera Impresa SGR, SIMEST, Alisei Forinvestments di Aldo Fumagalli, SM Capital, Prosus Group, CRIF, Abalone Group, Federico Ghizzoni, Fabio Nalucci",3,"Stiven Muccioli, Co-founder and CEO","Operational break-even, 2024 gross revenues of €18.4 million (51% YoY growth), 236% YoY growth in net revenues, 187% overall growth since 2021, 18 million customers daily in Egypt",,Series B,English,UK,,"FinTech, Banking-as-a-Service, BaaS, Series B, international growth, BaaS Orchestrator, payment processing, digital wallets, open banking, AI, Gen AI",https://www.eu-startups.com/2025/04/british-fintech-startup-bkn301-group-raises-e21-million-baas-platform/,"April 14, 2025",
CGC Genomics,1700000.0,Basel,Switzerland,"GenAI, Oncology, Healthcare",Pre-Seed,CGC Genomics is developing a regulatory-grade generative AI solution for interpreting cancer genome data to support clinical decision support in oncology.,"Heal Capital, Becker Ventures, Springboard Health Angels, Superangels, better ventures, Christoph Behn, Nicolas Weber, Helmut Deschauer",2023,"Dr Joerg Hoelzing, Dr James Creeden (MD PhD, former Chief Medical Officer at Roche & Foundation Medicine), Marcus Olivecrona","Pilot projects with Labor Becker and the OnkoMedeor Group, significant efficiency gains in internal use",,Pre-Seed,English,EU,,"GenAI, oncology, cancer diagnostics, regulatory-grade, precision medicine, NGS, clinical decision support",https://www.eu-startups.com/2025/04/swiss-healthtech-startups-cgc-genomics-raises-e1-7-million-for-regulated-genai-platform/,"April 14, 2025",
Klaimy,1200000.0,Paris,France,"AI, SaaS, Insurtech",Pre-Seed,AI-powered SaaS platform transforming medical data processing for insurers.,"Insurtech Gateway, U-Investors, Tenity, strategic angel investors",2023,"Amira Nakouri (CEO) - Former strategy consultant with 7+ years leading digital insurance transformation; Yazid Hadni (CPO) - Expert in AI-driven insurance workflows, built underwriting automation at La Mutuelle Générale; Juan Barragan (CTO) - 15 years in machine learning and software engineering, second-time AI startup Founder.","AI models trained on 18,000+ medical datapoints, accuracy rates above 98% for medical condition extraction, platform designed to tackle fraud, missing data and clinical inconsistencies.",,Pre-Seed,English,EU,,"AI, SaaS, Insurtech, medical data processing, underwriting, claims, automation, Europe",https://www.eu-startups.com/2025/04/klaimy-bags-e1-2-million-to-support-medical-underwriters-and-claims-handlers-with-ai-copilot/,"April 14, 2025",
,,,,,,,,,,,,,,,,,https://www.eu-startups.com/2025/06/why-green-energy-independence-is-key-to-europes-innovation-ecosystems/,"June 12, 2025",
Doubleword,10600000.0,London,UK,"AI, Enterprise Software",Series A,A self-hosted inference platform for enterprises that helps them own and control their AI by solving the inference problem.,"Dawn Capital, K5 Tokyo Black, Clément Delangue, Florian Douetteau",2021,"ex-UCL postdoctoral researchers, serial entrepreneurs","Scaled into the US, secured partnerships with Snowflake and Dataiku",,Series A,English,UK,,"AI, inference, self-hosted, enterprise, funding, Series A, Dawn Capital, UK",https://www.eu-startups.com/2025/05/british-startup-doubleword-raises-e10-6-million-to-make-self-hosted-ai-inference-effortless-for-enterprises/,"May 8, 2025",
Ravio,10600000.0,London,UK,"FinTech, HR Tech",Series A,Ravio provides real-time market data and tools for companies to manage compensation with confidence.,"Spark Capital, Blackbird, Cherry Ventures",2022,"ex-Deliveroo, experienced compensation leaders","1,200+ companies supported, customers include Just Eat Takeaway, Octopus Energy, Wise, Adyen, Mollie, Zoopla, Skyscanner",,Series A,English,UK,,"compensation, real-time data, HR software, market insights, pay equity",https://www.eu-startups.com/2025/05/british-fintech-startup-ravio-raises-e10-6-million-to-modernise-compensation-data-for-global-workforces/,"May 8, 2025",
Juice,29400000.0,London,UK,"alternative lending, finance",,"Juice is an alternative lending platform for digital Founders, aiming to democratise finance by providing SME Founders with capital and confidence to achieve growth ambitions.","Aern Capital, Falco Capital, Paragon Bank",2019,CEO Katherine Chan,"€25.8 billion funding gap for SMEs in the UK, 55% of companies moving away from high street banks, aiming for €117 million loan book with €29 million annual turnover by 2028",117000000,Growth,English,UK,,"alternative lending, SME, finance, growth capital, non-dilutive investment, real-time data analytics",https://www.eu-startups.com/2025/05/british-fintech-startup-juice-secures-e29-4-million-to-provide-new-funding-options-for-uk-smes/,"May 8, 2025",
Zeus Sleep,176000.0,Petersfield,UK,HealthTech,Seed,Develops innovative products to alleviate the symptoms of snoring and sleep apnoea.,British Design Fund,2023,CEO Nigel Clarke,"Worked with Guy’s & St Thomas’ Hospital, King’s College London, and Morgan Innovation & Technology Ltd; three clinical trials completed; pre-orders being taken for first consumer product.",,Seed,English,UK,,"snoring, sleep apnoea, HealthTech, clinical trials, British Design Fund",https://www.eu-startups.com/2025/05/snore-no-more-british-healthtech-startup-zeus-sleep-raises-e176k-to-bring-its-sleep-apnoea-product-to-market/,"May 8, 2025",
Alice,4200000.0,Copenhagen,Denmark,"EdTech, AI",Seed,"AI-driven learning platform that transforms generic course content into personalised, interactive study experiences.","Cherry Ventures, Y Combinator, PSV Tech",2024,"Kim Rants holds two masters degrees and has taught Copenhagen Business School students for more than 11 years, Patrick Gadd is an Oxford graduate with 15+ years of experience with AI programming.","User base soared by 650% in the past four months, currently available in 10 countries.",,Seed,English,EU,,"AI-powered tutor, personalised learning, adaptive AI, social learning, EdTech, education innovation",https://www.eu-startups.com/2025/05/danish-edtech-startup-alice-raises-e4-2-million-for-personalised-learning-and-studying-platform/,"May 7, 2025",
eyeo,15000000.0,Eindhoven,Netherlands,"imaging, nanophotonic sensors, computational photography, machine vision, spatial computing",Seed,"eyeo is redefining image sensing with nanophotonic sensor technology to improve image quality, resolution, and low-light performance without increasing camera size.","imec.xpand, Invest-NL, QBIC fund, High-Tech Gründerfonds (HTGF), Brabant Development Agency (BOM)",2023,,"plans to release evaluation kits within the next two years, scaling manufacturing process",,Seed,English,EU,,"imaging, nanophotonic sensors, low-light performance, resolution, machine vision, computational photography",https://www.eu-startups.com/2025/05/dutch-startup-eyeo-snaps-up-e15-million-to-sharpen-the-future-of-imaging/,"May 7, 2025",
7Learnings,10000000.0,Berlin,Germany,"AI, retail optimisation, e-commerce",Series B,"Provides an AI-powered retail optimisation platform for B2C companies, innovating the overarching optimisation of pricing, performance marketing, and product ordering.","Acton Capital, High-Tech Gründerfonds",2019,"Felix Hoffmann, Eiko van Hettinga, Martin Nowak","Profitability, 13% revenue increase for a client, international clients like Westwing, Bonprix, Tom Tailor, Tamaris, and DK Company",,Series B,English,EU,,"AI, retail optimisation, e-commerce, pricing, machine learning, profitability, international expansion",https://www.eu-startups.com/2025/05/german-startup-7learnings-raises-e10-million-to-expand-its-retail-ai-platform-to-us/,"May 7, 2025",
FINOM,92300000.0,Amsterdam,Netherlands,"financial services, SME",growth investment,A digital financial services platform designed for the needs of European entrepreneurs and SMEs.,"General Catalyst, Northzone",5,Kos Stiskin (Chairman and Co-founder),"100,000 businesses served, doubled revenue in 2024, expanded across key European markets",,growth investment,English,EU,,"digital financial platform, SME, growth investment, European expansion, customer retention",https://www.eu-startups.com/2025/05/dutch-fintech-startup-finom-raises-e92-3-million-to-develop-platform-for-smes/,"May 7, 2025",
Wagestream,352000000.0,London,UK,"financial wellbeing, fintech",Debt Financing,"A financial well-being app offered through employers, helping members to earn, learn, save, spend and borrow through their proprietary app.","Citi, Better Society Capital, Social Tech Trust, Fair By Design, Balderton Capital, Northzone, QED, Smash Capital, BlackRock, British Business Bank",2024,"Portman Wills, Co-founder","12 million monthly visits, 10 million monthly transactions, €2.9 billion in monthly payments, 3 million members through 1,200 employers, 2,000+ brands using solutions, 27% decrease in time-to-hire, 16% reduction in turnover, 26% increase in shift fill rate",,Debt Financing,English,UK,,"financial wellbeing, fintech, debt financing, workplace loans, payroll deductions, financial resilience",https://www.eu-startups.com/2025/05/british-fintech-startup-wagestream-secures-e352-million-for-fair-financial-services-for-employees/,"May 7, 2025",
Hotiday,5500000.0,Milan,Italy,"Traveltech, Hospitality",Capital raise,"Hotiday is a decentralised global hotel based in dedicated areas within the best local hotels, offering enhanced services for travelers.","P101 SGR, 40Jemz, Italian and international business angels",2,"Founded by Vittorio Gargiulo, Federico Brunelli, and Federico Di Carlo; developed through Bocconi for Innovation acceleration programme","500% revenue growth compared to 2023, first international Room Collection in Paris, partnerships with over 65 hospitality businesses including TH Resorts, operates in over 90 destinations in Europe",,,English,EU,,"Traveltech, hospitality, innovation, revenue growth, decentralised hotel, partnerships, digital transition",https://www.eu-startups.com/2025/05/italian-traveltech-startup-hotiday-raises-e5-5-million-to-create-the-first-decentralised-global-hotel/,"May 6, 2025",
StackOne,17600000.0,London,UK,"AI, SaaS, Enterprise Integration",Series A,An AI-powered platform fuelling enterprise AI agents and SaaS integrations.,"GV (Google Ventures), Workday Ventures, XTX Ventures, Episode 1, Playfair, angels from OpenAI, Deepmind, Microsoft, Mulesoft",2023,"ex-Google, Oracle, Yieldify, serial entrepreneurs","1 billion API calls, customers including Drata, Attensi, Localyze",,Series A,English,UK,,"AI, SaaS, enterprise integrations, API, B2B, AI agents",https://www.eu-startups.com/2025/05/british-ai-startup-stackone-raises-e17-6-million-to-reinvent-saas-and-ai-agent-integrations/,"May 6, 2025",
Parloa,105000000.0,Berlin,Germany,"Agentic AI, Customer Experience",Series C,"Parloa is an innovator in Agentic AI for customer experience, helping enterprises transform customer service with AI.","Durable Capital Partners, Altimeter Capital, General Catalyst, EQT Ventures, RPT Capital, Senovo, Mosaic Ventures",2018,"Malte Kosub (CEO and Co-founder), Stefan Ostwald (Co-founder)","Quadrupled revenue, released AI Agent Management Platform (AMP)",881000000,Series C,English,EU,,"Agentic AI, customer experience, AI Agent Management Platform, enterprise contact centres, generative AI, customer support",https://www.eu-startups.com/2025/05/german-startup-parloa-raises-e105-million-to-innovate-customer-service-with-agentic-ai/,"May 6, 2025",
Tutornow,1000000.0,Lomazzo,Italy,"EdTech, digital education, training",Seed,Tutornow is an EdTech startup that develops a digital platform for personalised tutoring and interactive learning tools.,"Mario Peveraro, Techstars, Invitalia, Kf-invest",3,"Co-founders previously founded Educo, a non-profit supporting students with learning disabilities.","+100% YoY revenue increase, 150,000 hours of lessons delivered, 15,000 qualified tutors, team growth from 4 to 30 people",,Seed,English,EU,,"EdTech, AI, digital education, tutoring, personalised learning, corporate training, B2B, Italy",https://www.eu-startups.com/2025/05/italian-edtech-startup-tutornow-raises-e1-million-to-scale-their-accessible-and-personalised-lessons/,"May 9, 2025",
Axe,1500000.0,Dublin,Ireland,"AI, Logistics",Pre-Seed,AI startup building autonomous agents for logistics teams to automate repetitive tasks.,"Pitchdrive, Accel Scouts, Enterprise Ireland, Colm Long, Colm Lyons",2024,"James McElroy (ex-Gudog, Oasis), Dan Quill (ex-Peblo, iwoca)","Working with several logistics companies, saving two hours per person per day, plans to expand into the U.S. market.",,Pre-Seed,English,EU,,"AI, logistics, autonomous agents, pre-Seed funding, Dublin, Pitchdrive",https://www.eu-startups.com/2025/05/irish-startup-axe-lands-e1-5-million-to-supercharge-logistics-teams-with-ai-agents/,"May 9, 2025",
Scalera,5700000.0,Zurich,Switzerland,"ConstructionTech, AI, procurement",Seed,AI-powered tendering and procurement platform for the construction sector.,"firstminute capital, Speedinvest, strategic angels from Google, unicorn startups, and the construction world",2023,"Leonardo Reinhard (CEO), Sven Affeltranger (CCO), Federico Gossi (CTO)","Processed over €2.1 billion in tenders, covers 65% to 75% of construction contractors in Switzerland, 74% MoM growth",,Seed,English,EU,,"AI, construction, procurement, tendering, ETH Zürich, DACH region",https://www.eu-startups.com/2025/05/swiss-startup-scalera-raises-e5-7-million-to-bring-ai-to-public-construction-procurement-and-get-europe-building-again/,"May 9, 2025",
Circula,15000000.0,Berlin,Germany,"AI, expense management, SaaS",Series A,Circula offers a modular SaaS platform designed to streamline business expense management with AI-powered features.,"Alstin Capital, Capnamic Ventures, Peak Capital, Wenvest Capital, Storm Ventures, CIBC Innovation Banking",2017,Founded by Nikolai Skatchkov and Roman Leicht,"Over 2,800 customers, 150,000 active users, hundreds of millions in transaction volume, partnerships with Aston Martin, About You, DATEV, Securitas",,Series A,English,EU,,"AI-driven, expense management, autonomous finance, mid-sized businesses, SaaS, digital expense solutions",https://www.eu-startups.com/2025/05/german-fintech-startup-circula-secures-e15-million-as-it-cuts-expense-admin-by-80/,"May 8, 2025",
Loxa,1900000.0,London,UK,"InsurTech, product protection",Seed,"Loxa is an InsurTech firm focused on innovating product protection, empowering retailers to offer Product Protection cover at checkout for repairable items.",Angel Investment Network,2023,"Jamie Hamer (ex-Procter & Gamble, Gartner, co-founder of React News), Tori Hutchinson (ex-Cirque du Soleil, Monica Vinader), Richard Smith (ex-L’Oréal, Department for Education)","Integration with Shopify, WooCommerce, PrestaShop, Magento; partnerships with established insurance companies",,Seed,English,UK,,"InsurTech, product protection, Seed funding, UK retailers, embedded insurance",https://www.eu-startups.com/2025/05/british-insurtech-loxa-raises-e1-9-million-for-product-protection-in-the-uk/,"May 8, 2025",
OSCAR,6000000.0,Lisbon,Portugal,"home services, repairs, cleaning, laundry, beauty",pre-Series A,"A home services app offering repair, cleaning, laundry, and beauty tasks with fixed prices and 30-minute service.","Indico Capital Partners, Lince Capital, Failup Ventures, Boost Capital Partners",2019,,"60% monthly growth in Spain, market leader in Portugal, 12,000 vetted professionals, present in 17 cities in Iberian Peninsula",,pre-Series A,English,EU,,"home services, expansion, Portugal, Spain, UK, investment, pre-Series A",https://www.eu-startups.com/2025/05/portuguese-home-service-startup-oscar-raises-e6-million-to-continue-expansion/,"May 2, 2025",
Solda.AI,3500000.0,Berlin,Germany,"AI, telesales",Seed,AI telesales startup innovating phone sales with multimodal AI voice agents that can close deals autonomously.,"Accel, AltaIR Capital",2023,"Sergey Shalaev, an AI and ML entrepreneur with more than 12 years experience in recommendation services, advertising technologies, and MedTech.","Integrated into 20 enterprises’ telesales operations, generated €6.1 million in incremental revenue for clients in 2024, on target for €26.4 million this year, processes 10,000 leads daily.",,Seed,English,EU,,"AI, telesales, voice agents, sales automation, call centres",https://www.eu-startups.com/2025/04/german-ai-startup-solda-ai-raises-e3-million-for-telesales-voice-agents/,"April 30, 2025",
Telgea,2300000.0,Stockholm,Sweden,"telecom, mobile operator",Seed,"Telgea is a telecom provider that delivers one global platform, one contract, and seamless mobile service for businesses in 75+ countries.","Amigos Venture Capital, Antler, Motivate Ventures, SSE Ventures",0,"Andreas Åfeldt Franke (previously scaled Tipser and Innometrics), Theis Jensen (founded and scaled Sani Nudge)","expanded to eight markets, signed customer agreements representing €880k in ARR",,Seed,English,EU,,"mobile operator, international companies, telecom, global platform, AI, automation",https://www.eu-startups.com/2025/04/swedish-telecoms-startup-telgea-raises-e2-3-million-to-simplify-connectivity-for-global-teams/,"April 30, 2025",
